,model,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth,MAE_train,MAE_valid,MAE_test,RMSE_train,RMSE_valid,RMSE_test
16,config_3,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,24,10,LSTM,1,24,1,1.6781080961227417,1.671565055847168,1.6035575866699219,2.1676809787750244,2.087667226791382,1.9921156167984009
17,config_3,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,24,10,LSTM,1,24,1,1.6008169651031494,1.7076712846755981,1.3151098489761353,2.119314670562744,2.0966780185699463,1.7147040367126465
18,config_3,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,24,10,LSTM,1,24,1,1.6218187808990479,1.4255722761154175,1.3931142091751099,2.122957944869995,1.8174428939819336,1.7482672929763794
19,config_3,32.0,0.001,,,,,,,,,,32.0,0.005,,,,,,0,,,,,24,10,LSTM,1,24,1,1.5876154899597168,1.4297120571136475,1.6512694358825684,1.9912700653076172,1.789136290550232,1.9341450929641724
20,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,24,10,MCCNN,1,24,2,1.6061623096466064,1.6436468362808228,1.867655873298645,2.064866065979004,2.070953607559204,2.2764246463775635
21,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,24,10,MCCNN,1,24,2,1.5881425142288208,1.6400845050811768,1.607435703277588,2.0581798553466797,2.0624232292175293,2.006847381591797
22,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,24,10,MCCNN,1,24,2,1.4719330072402954,1.6747616529464722,1.29768967628479,1.9774075746536255,2.080740213394165,1.7146340608596802
23,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,24,10,MCCNN,1,24,2,1.4133323431015015,1.3744486570358276,1.3313959836959839,1.9051839113235474,1.760619044303894,1.7627252340316772
24,config_4,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,24,10,MCCNN,1,24,2,1.4457210302352905,1.3505173921585083,1.4775073528289795,1.854706883430481,1.7497341632843018,1.8187355995178223
25,config_5,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,24,10,MHCNN,1,24,2,1.5462768077850342,1.7011727094650269,1.8916106224060059,1.967403531074524,2.1484713554382324,2.3119213581085205
26,config_5,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,24,10,MHCNN,1,24,2,1.339431881904602,1.7418853044509888,1.6839616298675537,1.7850948572158813,2.2797157764434814,2.1748316287994385
27,config_5,,,,,,,,,,,,,,,,32.0,0.005,,0,,,,,24,10,MHCNN,1,24,2,1.4191497564315796,1.6810431480407715,1.316349744796753,1.8996223211288452,2.0751965045928955,1.7353763580322266
